ID,名称,効果,評価点,小進歩,強すぎるカード
A014,大工の金鎚,同時に2部屋以上建設するたびに、資材の合計から葦2と、木/レンガ/石の家ならば木材2/レンガ3/石材4安くなる。,9.5,小進歩,強すぎるカード
A033,新しい土地,まだ始まっていないラウンド1つにつき、すぐに食料2と1点ボーナスを得る。,7.83,小進歩,強すぎるカード
A039,礼拝所,このカードは全員が使えるアクションスペースとなる。ここを使ったプレイヤーはボーナス3点を得る。ほかのプレイヤーが使うときは、まずあなたに小麦1を渡さなければならない。,9.5,小進歩,強すぎるカード
A048,削り馬,木材1以上を入庫する（ストックに入れる）たびに、その後あなたのストックに木材5以上あれば木材1を食料3に交換できる。木材7以上あれば必ず交換しなければならない。,9,小進歩,強すぎるカード
A082,労働証明書,アクションスペースを使うたびに、その後で建設資材が4つ以上ある建設資材の累積スペース1か所から建設資材を1つ取れる。,7.5,小進歩,強すぎるカード
B010,移動住宅,このカードが家族1人分の住む場所となる。,9.83,小進歩,強すぎるカード
B015,工作台,木材の累積スペースを使うたび、その直後にそこで得た木材（だけ）を使って牧場を1つだけ建設できる。そうしたらなら、柵1本分は無料となる。,9.5,小進歩,強すぎるカード
B021,干し草倉,このカード上に食料4を置く。小麦1以上を入庫する(ストックに入れる)たびに、追加でカード上の食料1を得る。食料がなくなり次第、「家族を増やす。住む場所がなくてもよい」アクションを得る。,9.5,小進歩,強すぎるカード
B022,旅行靴,すぐに食料2を得る。すぐにあなたのストックにある人物1人を配置する。次の帰宅フェイズにその配置した人物をゲームから取り除く。,7,小進歩,強すぎるカード
C003,馬車旅行,このカードを労働フェイズ中に出したなら、すぐに他の人物1人を配置する。このカードは自分の前に置かず、左隣のプレイヤーの手札に入れる。,8.67,小進歩,強すぎるカード
C012,牛牧場,このカードの上を、牛を飼う場所にできる。収容数は農場の牧場1つにつき牛1頭。,4,小進歩,弱すぎるカード
C028,教師机,アクションスペース「大きい進歩」または「家の建て直し」を使うたび、食料1のコストで職業1を出すことができる。,9.5,小進歩,強すぎるカード
C031,書斎,得点計算時に、マイナス点の合計と等しい数のボーナス点を得る。（ただし最大7点まで）。,9,小進歩,強すぎるカード
C063,クラフトビール醸造所,各収穫の食料供給フェイズで、このカードを使って自分のストックの小麦1と畑の小麦1をボーナス2点と食料4に交換できる。,9.5,小進歩,強すぎるカード
C084,ライ麦飼料,収穫で終わらない各ラウンドで、小麦1を払うことで家畜ちょうど1種類を繁殖できる。（これは繁殖フェイズとは見なさない）,4.67,小進歩,弱すぎるカード
D004,横挽きの木材,すぐに、自分のストックの石材と同数の木材を得る。このカードは自分の前に置かず、左隣のプレイヤーの手札に入れる。,9.17,小進歩,強すぎるカード
D019,粉砕鋤,レンガの累積スペースを使用するたび、その直後にレンガ1を払って畑1を耕せる。そうするなら、支払ったレンガをその累積スペースに置く。,9.5,小進歩,強すぎるカード
D021,男児求む,家に空き部屋があるなら、「小さい進歩」アクションを得るたび、代わりに「家族を増やす」アクションを行える。,7.5,小進歩,強すぎるカード
D033,避暑地の別荘,得点計算時、石の家に住んでいれば、家と縦横に隣接する未使用スペースそれぞれにつきボーナス2点を得る。（未使用スペースのマイナス点は通常通り。）,9.5,小進歩,強すぎるカード
D074,王家の木材,アクションスペース「農場拡充」を使用するか、進歩を建設した手番の終わりに、それらのアクションで支払った木材2につき木材1を得る（切り捨て）。,8.5,小進歩,強すぎるカード
E022,客室,すぐにあなたの所有する食料を好きな数だけこのカードの上に置く。各ラウンドに1度、このカードの上の食料1を捨てることで、あなたのストックにある人物を1人配置できる。,7.5,小進歩,強すぎるカード
